Date,Open,High,Low,Close,Adj Close,Volume
2023-09-05,188.279999,189.979996,187.610001,189.699997,188.734222,45280000
2023-09-06,188.399994,188.850006,181.470001,182.910004,181.978806,81755800
2023-09-07,175.179993,178.210007,173.539993,177.559998,176.656021,112488800
2023-09-08,178.350006,180.240005,177.789993,178.179993,177.272888,65551300
2023-09-11,180.070007,180.300003,177.339996,179.360001,178.446869,58953100
2023-09-12,179.490005,180.130005,174.820007,176.300003,175.402435,90370200
2023-09-13,176.509995,177.300003,173.979996,174.210007,173.323090,84267900
2023-09-14,174.000000,176.100006,173.580002,175.740005,174.845306,60895800
2023-09-15,176.479996,176.500000,173.820007,175.009995,174.119003,109205100
2023-09-18,176.479996,179.380005,176.169998,177.970001,177.063950,67257600
2023-09-19,177.520004,179.630005,177.130005,179.070007,178.158340,51826900
2023-09-20,179.259995,179.699997,175.399994,175.490005,174.596588,58436200
2023-09-21,174.550003,176.300003,173.860001,173.929993,173.044495,63047900
2023-09-22,174.669998,177.080002,174.050003,174.789993,173.900116,56725400
2023-09-25,174.199997,176.970001,174.149994,176.080002,175.183563,46172700
2023-09-26,174.820007,175.199997,171.660004,171.960007,171.084534,64588900
2023-09-27,172.619995,173.039993,169.050003,170.429993,169.562317,66921800
2023-09-28,169.339996,172.029999,167.619995,170.690002,169.821014,56294400
2023-09-29,172.020004,173.070007,170.339996,171.210007,170.338379,51814200
2023-10-02,171.220001,174.300003,170.929993,173.750000,172.865417,52164500
2023-10-03,172.259995,173.630005,170.820007,172.399994,171.522308,49594600
2023-10-04,171.089996,174.210007,170.970001,173.660004,172.775894,53020300
2023-10-05,173.789993,175.449997,172.679993,174.910004,174.019516,48527900
2023-10-06,173.800003,177.990005,173.179993,177.490005,176.586395,57224100
2023-10-09,176.809998,179.050003,175.800003,178.990005,178.078751,42390800
2023-10-10,178.100006,179.720001,177.949997,178.389999,177.481796,43698000
2023-10-11,178.199997,179.850006,177.600006,179.800003,178.884628,47551100
2023-10-12,180.070007,182.339996,179.039993,180.710007,179.790009,56743100
2023-10-13,181.419998,181.929993,178.139999,178.850006,177.939484,51427100
2023-10-16,176.750000,179.080002,176.509995,178.720001,177.810135,52517000
2023-10-17,176.649994,178.419998,174.800003,177.149994,176.248108,57549400
2023-10-18,175.580002,177.580002,175.110001,175.839996,174.944794,54764400
2023-10-19,176.039993,177.839996,175.190002,175.460007,174.566727,59302900
2023-10-20,175.309998,175.419998,172.639999,172.880005,171.999878,64189300
2023-10-23,170.910004,174.009995,169.929993,173.000000,172.119263,55980100
2023-10-24,173.050003,173.669998,171.449997,173.440002,172.557007,43816600
2023-10-25,171.880005,173.059998,170.649994,171.100006,170.228928,57157000
2023-10-26,170.369995,171.380005,165.669998,166.889999,166.040344,70625300
2023-10-27,166.910004,168.960007,166.830002,168.220001,167.363571,58499100
2023-10-30,169.020004,171.169998,168.869995,170.289993,169.423035,51131000
2023-10-31,169.350006,170.899994,167.899994,170.770004,169.900620,44846000
2023-11-01,171.000000,174.229996,170.119995,173.970001,173.084320,56934900
2023-11-02,175.520004,177.779999,175.460007,177.570007,176.666000,77334800
2023-11-03,174.240005,176.820007,173.350006,176.649994,175.750656,79763700
2023-11-06,176.380005,179.429993,176.210007,179.229996,178.317520,63841300
2023-11-07,179.179993,182.440002,178.970001,181.820007,180.894348,70530000
2023-11-08,182.350006,183.449997,181.589996,182.889999,181.958893,49340300
2023-11-09,182.960007,184.119995,181.809998,182.410004,181.481354,53763500
2023-11-10,183.970001,186.570007,183.529999,186.399994,185.695343,66133400
2023-11-13,185.820007,186.029999,184.210007,184.800003,184.101395,43627500
2023-11-14,187.699997,188.110001,186.300003,187.440002,186.731415,60108400
2023-11-15,187.850006,189.500000,187.779999,188.009995,187.299255,53790500
2023-11-16,189.570007,190.960007,188.649994,189.710007,188.992859,54412900
2023-11-17,190.250000,190.380005,188.570007,189.690002,188.972916,50922700
2023-11-20,189.889999,191.910004,189.880005,191.449997,190.726257,46505100
2023-11-21,191.410004,191.520004,189.740005,190.639999,189.919312,38134500
2023-11-22,191.490005,192.929993,190.830002,191.309998,190.586807,39617700
2023-11-24,190.869995,190.899994,189.250000,189.970001,189.251846,24048300
2023-11-27,189.919998,190.669998,188.899994,189.789993,189.072510,40552600
2023-11-28,189.779999,191.080002,189.399994,190.399994,189.680206,38415400
2023-11-29,190.899994,192.089996,188.970001,189.369995,188.654114,43014200
2023-11-30,189.839996,190.320007,188.190002,189.949997,189.231918,48794400
2023-12-01,190.330002,191.559998,189.229996,191.240005,190.517059,45679300
2023-12-04,189.979996,190.050003,187.449997,189.429993,188.713882,43389500
2023-12-05,190.210007,194.399994,190.179993,193.419998,192.688812,66628400
2023-12-06,194.449997,194.759995,192.110001,192.320007,191.592972,41089700
2023-12-07,193.630005,195.000000,193.589996,194.270004,193.535614,47477700
2023-12-08,194.199997,195.990005,193.669998,195.710007,194.970169,53377300
2023-12-11,193.110001,193.490005,191.419998,193.179993,192.449722,60943700
2023-12-12,193.080002,194.720001,191.720001,194.710007,193.973953,52696900
2023-12-13,195.089996,198.000000,194.850006,197.960007,197.211655,70404200
2023-12-14,198.020004,199.619995,196.160004,198.110001,197.361084,66831600
2023-12-15,197.529999,198.399994,197.000000,197.570007,196.823135,128256700
2023-12-18,196.089996,196.630005,194.389999,195.889999,195.149490,55751900
2023-12-19,196.160004,196.949997,195.889999,196.940002,196.195511,40714100
2023-12-20,196.899994,197.679993,194.830002,194.830002,194.093491,52242800
2023-12-21,196.100006,197.080002,193.500000,194.679993,193.944031,46482500
2023-12-22,195.179993,195.410004,192.970001,193.600006,192.868149,37122800
2023-12-26,193.610001,193.889999,192.830002,193.050003,192.320206,28919300
2023-12-27,192.490005,193.500000,191.089996,193.149994,192.419830,48087700
